et_name	n1_type	n2_type	bidir	et_desc	sc_desc	sc_best	sc_worst	category	supercollection	pretty_name
hn_SC_TS	Gene	Gene	1	Yeast protein interactions inferred from tertiary structures of complexes	log likelihood value	10	0	GG	Experimental_Interaction	HumanNet Yeast Protein Interactions 
hn_SC_LC	Gene	Gene	1	Literature curated yeast protein physical interactions	log likelihood value	10	0	GG	Experimental_Interaction	HumanNet Yeast Protein Physical Interactions
PPI_colocalization	Gene	Gene	1	Coincident occurrence of molecules in a given subcellular fraction observed with a low resolution methodology from which a physical interaction among those molecules cannot be inferred.	binary value	1	1	GG	Experimental_Interaction	PPI Colocalization
PPI_direct_interaction	Gene	Gene	1	Interaction between molecules that are in direct contact with each other.	binary value	1	1	GG	Experimental_Interaction	PPI Direct Interaction
PPI_genetic_interaction	Gene	Gene	1	An effect in which two genetic perturbations, when combined, result in a phenotype that does not appear to be merely explained by the superimposition or addition of effects of the original perturbations. ab (not=) E.	binary value	1	1	GG	Experimental_Interaction	PPI Genetic Interaction
PPI_hub	Gene	Gene	0	Genes which are associated with the given PPI hub protein	binary value	1	1	GG	Experimental_Interaction	PPI Hub Protein
PPI_negative	Gene	Gene	1	Particular interaction has been explicitly shown not to occur under the described conditions.	binary value	1	1	GG	Experimental_Interaction	PPI Negative Evidence
PPI_physical_association	Gene	Gene	1	Interaction between molecules within the same physical complex. Often identified under conditions which suggest that the molecules are in close proximity but not necessarily in direct contact with each other.	binary value	1	1	GG	Experimental_Interaction	PPI Physical Association
PPI_association	Gene	Gene	1	Interaction between molecules that may participate in formation of one, but possibly more, physical complexes. Often describes a set of molecules that are co-purified in a single pull-down or coimmunoprecipitation but might participate in formation of distinct physical complexes sharing a common bait.	binary value	1	1	GG	Experimental_Interaction	PPI Protein Complex Association
STRING_experimental	Gene	Gene	1	Significant protein interaction datasets, gathered from other protein-protein interaction databases	STRING score computed by combining the probabilities from the different evidence channels, correcting for the probability of randomly observing an interaction	999	1	GG	Experimental_Interaction	STRING Experimental PPI
pathcom_catalysis_precedes	Gene	Gene	0	First protein controls a reaction whose output molecule is input to another reaction controlled by the second protein	binary value	1	1	GG	Pathway_Database	Pathway Commons Catalysis Precedes
pathcom_controls_expression_of	Gene	Gene	0	First protein controls a conversion or a template reaction that changes expression of the second protein	binary value	1	1	GG	Pathway_Database	Pathway Commons Controls Expression
pathcom_controls_phosphorylation_of	Gene	Gene	0	First protein controls a reaction that changes the phosphorylation status of the second protein	binary value	1	1	GG	Pathway_Database	Pathway Commons Controls Phosphorylation
pathcom_controls_state_change_of	Gene	Gene	0	First protein controls a reaction that changes the state of the second protein	binary value	1	1	GG	Pathway_Database	Pathway Commons Controls State Change
pathcom_controls_transport_of	Gene	Gene	0	First protein controls a reaction that changes the cellular location of the second protein	binary value	1	1	GG	Pathway_Database	Pathway Commons Controls Transport
pathcom_in_complex_with	Gene	Gene	1	Proteins are participants of the same molecular interaction	binary value	1	1	GG	Pathway_Database	Pathway Commons In Complex With
pathcom_neighbor_of	Gene	Gene	1	Proteins are participants or controllers of the same interaction	binary value	1	1	GG	Pathway_Database	Pathway Commons Neighbor
reactome_PPI_direct_complex	Gene	Gene	1	interactors are directly in the same complex within a pathway, i.e. w/o further nested complexes. Stronger evidence than 'indirect_complex', 'reaction', 'neighbouring_reaction'.	Binary value indicating that the pair of genes were found with this type of interaction within a pathway	1	1	GG	Pathway_Database	Reactome PPI Direct Complex
reactome_PPI_indirect_complex	Gene	Gene	1	interactors in different subcomplexes of a complex within a pathway. Relationship stronger than 'reaction', 'neighbouring_reaction', but not as strong as 'direct_complex'.	Binary value indicating that the pair of genes were found with this type of interaction within a pathway	1	1	GG	Pathway_Database	Reactome PPI Indirect Complex
reactome_PPI_neighbouring_reaction	Gene	Gene	0	interactor participate in 2 'consecutive' reactions, i.e. when one reaction produces an input or a catalyst for another reaction. Relationship not as strong as 'direct_complex', 'indirect_complex', or 'reaction'.	Binary value indicating that the pair of genes were found with this type of interaction within a pathway	1	1	GG	Pathway_Database	Reactome PPI Neighboring Reaction
reactome_PPI_reaction	Gene	Gene	1	interactors participate in the same reaction, but the interactors do not form a complex. Relationship stronger than 'neighbouring_reaction', but not as strong as 'direct_complex' or 'indirect_complex'.	Binary value indicating that the pair of genes were found with this type of interaction within a pathway	1	1	GG	Pathway_Database	Reactome PPI Reaction Partners
STRING_database	Gene	Gene	1	Significant protein interaction groups, gathered from curated databases	STRING score computed by combining the probabilities from the different evidence channels, correcting for the probability of randomly observing an interaction	999	1	GG	Pathway_Database	STRING Functional Databases
hn_HS_CC	Gene	Gene	1	Co-citation of human genes	log likelihood value	10	0	GG	Text_Mining/Integrated	HumanNet Co-Citation Of Human Genes
hn_CE_CC	Gene	Gene	1	Co-citation of worm genes	log likelihood value	10	0	GG	Text_Mining/Integrated	HumanNet Co-Citation Of Worm Genes
hn_SC_CC	Gene	Gene	1	Co-citation of yeast genes	log likelihood value	10	0	GG	Text_Mining/Integrated	HumanNet Co-Citation Of Yeast Genes
hn_IntNet	Gene	Gene	1	Integrated network (HumanNet)	log likelihood value	10	0	GG	Text_Mining/Integrated	HumanNet Integrated Network 
STRING_textmining	Gene	Gene	1	Significant protein interaction groups, extracted from the abstracts of scientific literature	STRING score computed by combining the probabilities from the different evidence channels, correcting for the probability of randomly observing an interaction	999	1	GG	Text_Mining/Integrated	STRING Text Mining from Abstracts
pathcom_controls_production_of	Gene	Molecule	0	The protein controls a reaction of which the small molecule is an output	binary value	1	1	GM	MISC	Pathway Commons Controls Production
pathcom_controls_transport_of_chemical	Gene	Molecule	0	The protein controls a reaction that changes cellular location of the small molecule	binary value	1	1	GM	MISC	Pathway Commons Controls Transport Of Chemical
pathcom_chemical_affects	Molecule	Gene	0	A small molecule has an effect on the protein state	binary value	1	1	MG	MISC	Pathway Commons Chemical Affects
pathcom_consumption_controlled_by	Molecule	Gene	0	The small molecule is consumed by a reaction that is controlled by a protein	binary value	1	1	MG	MISC	Pathway Commons Consumption Controlled By
pathcom_reacts_with	Molecule	Molecule	1	Small molecules are input to a biochemical reaction	binary value	1	1	MM	MISC	Pathway Commons Reacts With
pathcom_used_to_produce	Molecule	Molecule	0	A reaction consumes a small molecule to produce another small molecule	binary value	1	1	MM	MISC	Pathway Commons Used To Produce
LINCS_down_set	Property	Gene	0	Genes which were shown to be differentially down regulated after treatment with a given perturbagen	binary value	1	1	PG	Disease/Drug	Enrichr LINCS Down Sets
LINCS_up_set	Property	Gene	0	Genes which were shown to be differentially up regulated after treatment with a given perturbagen	binary value	1	1	PG	Disease/Drug	Enrichr LINCS Up Sets
enrichr_perturbation_set	Property	Gene	0	Genes which were shown to be differentially regulated by a given perturbagen 	binary value	1	1	PG	Disease/Drug	Enrichr Perturbation Set
enrichr_phenotype_signature	Property	Gene	0	Genes associated with a given genotype or phenotype	binary value	1	1	PG	Disease/Drug	Enrichr Phenotype Signature
HMDB_metabolite_signatures	Property	Gene	0	Genes associated with a given metabolite	binary value	1	1	PG	Disease/Drug	HMDB Metabolite Signatures
KEA_kinase_signatures	Property	Gene	0	Genes associated with a given kinase	binary value	1	1	PG	Disease/Drug	KEA Kinase Signatures
LINCS_down_signature	Property	Gene	0	Genes which were shown to be differentially down regulated after treatment with a given perturbagen	Robust z-scores for each profile relative to population control	100	2.5	PG	Disease/Drug	LINCS Down Signature
LINCS_up_signature	Property	Gene	0	Genes which were shown to be differentially up regulated after treatment with a given perturbagen	Robust z-scores for each profile relative to population control	100	2.5	PG	Disease/Drug	LINCS Up Signature
msigdb_c4_cgn	Property	Gene	0	Gene sets defined by expression neighborhoods centered on 380 cancer-associated genes (Brentani, Caballero et al. 2003). This collection is identical to that previously reported in (Subramanian, Tamayo et al. 2005).	1 if there is an edge from the gene set's node to the gene	1	1	PG	Disease/Drug	MSigDB Cancer Gene Neighborhoods
msigdb_c4_cm	Property	Gene	0	Gene sets defined by Segal et al. 2004. Briefly, the authors compiled gene sets ('modules') from a variety of resources such as KEGG, GO, and others. By mining a large compendium of cancer-related microarray data, they identified 456 such modules as significantly changed in a variety of cancer conditions.	1 if there is an edge from the gene set's node to the gene	1	1	PG	Disease/Drug	MSigDB Cancer Modules
msigdb_c2_cgp	Property	Gene	0	Gene sets represent expression signatures of genetic and chemical perturbations. A number of these gene sets come in pairs: an xxx_UP (xxx_DN) gene set representing genes induced (repressed) by the perturbation	1 if there is an edge from the gene set's node to the gene	1	1	PG	Disease/Drug	MSigDB Chemical and Genetic Perturbations
msigdb_c7_all	Property	Gene	0	Gene sets that represent cell states and perturbations within the immune system. The signatures were generated by manual curation of published studies in human and mouse immunology. For each study, pairwise comparisons of relevant classes were made and genes ranked by mutual information. Gene sets correspond to top or bottom genes (FDR < 0.25 or maximum of 200 genes) for each comparison. This resource is generated as part of the Human Immunology Project Consortium	1 if there is an edge from the gene set's node to the gene	1	1	PG	Disease/Drug	MSigDB Immunologic Signatures
msigdb_c6_all	Property	Gene	0	Gene sets represent signatures of cellular pathways which are often dis-regulated in cancer. The majority of signatures were generated directly from microarray data from NCBI GEO or from internal unpublished profiling experiments which involved perturbation of known cancer genes.	1 if there is an edge from the gene set's node to the gene	1	1	PG	Disease/Drug	MSigDB Oncogenic Signatures
gene_ontology	Property	Gene	0	Curated evidence includes experimentally inferred (expression pattern, mutant phenotype, direct assay, physical or genetic interaction) as well as computational analysis inferred (sequence based, analysis of hierarchy).  which are automatically assigned from Electronic Annotations.	Curated evidence assigned value of 2, inferred evidence assigned value of 1.	2	1	PG	Ontologies	Gene Ontology
enrichr_pathway	Property	Gene	0	Membership of gene in a pathway	binary value	1	1	PG	Pathways	Enrichr Pathway Membership
kegg_pathway	Property	Gene	0	Each pathway map contains a network of molecular interactions and reactions and is designed to link genes in the genome to gene products (mostly proteins) in the pathway	Binary value indicating that the gene has a known role in kegg pathway	1	1	PG	Pathways	Kegg Pathway
pathcom_pathway	Property	Gene	0	Membership of gene in a pathway	binary value	1	1	PG	Pathways	Pathway Commons Pathways
PPI_complex	Property	Gene	0	Genes associated as being a part of the same given complex	binary value	1	1	PG	Pathways	PPI Complex
panther_classification	Property	Gene	0	Proteins classified using PANTHER (Protein ANalysis THrough Evolutionary Relationships) Classification System	binary value	1	1	PG	Protein_Domains	PANTHER Classification
achilles_genetic_fitness	Property	Gene	0	Genes that effect cell survival in a given cell line	binary value	1	1	PG	Regulation	Achilles Genetic Fitness of Cell Lines
enrichr_ChIP_gene_set	Property	Gene	0	Genes associated with a given ChIP or histone modification experiment  	binary value	1	1	PG	Regulation	Enrichr ChIP Gene Sets
ESCAPE_gene_set	Property	Gene	0	Embryonic Stem Cell Atlas from Pluripotency Evidence (ESCAPE) gene sets integrating data from many recent diverse high-throughput studies including: gene expression microarrays, RNA-seq, ChIP-chip/seq, genome-wide inhibitory RNA (RNAi) screens, immunoprecipitation followed by mass spectrometry (IP-MS) proteomics and phosphoproteomics	binary value	1	1	PG	Regulation	ESCAPE Stem Cell Gene Set
msigdb_c3_mir	Property	Gene	0	Gene sets that contain genes that share a 3'-UTR microRNA binding motif.	1 if there is an edge from the gene set's node to the gene	1	1	PG	Regulation	MSigDB microRNA Targets
SILAC_phosphoproteomics	Property	Gene	0	Genes associated with phosphoproteomic changes in a given experiment	binary value	1	1	PG	Regulation	SILAC Phosphoproteomics
TargetScan_microRNA	Property	Gene	0	Genes predicted to be targets for the given microRNA	binary value	1	1	PG	Regulation	TargetScan MicroRNA
allen_brain_atlas_signature	Property	Gene	0	Genes which were shown to be differentially regulated in a region of the brain	binary value	1	1	PG	Tissue_Expression	Allen Brain Atlas Signatures
enrichr_cell_signature	Property	Gene	0	Genes associated with a given cancer cell line	binary value	1	1	PG	Tissue_Expression	Enrichr Signatures of Cancer Cell Lines
enrichr_tissue_signature	Property	Gene	0	Genes associate with a given tissue type	binary value	1	1	PG	Tissue_Expression	Enrichr Tissue Signature
genesigdb_gene_signature	Property	Gene	0	Traceable, standardized, annotated gene signatures which have been manually curated from publications that are indexed in PubMed	binary value	1	1	PG	Tissue_Expression	GeneSigDB Gene Signature
GEO_expression_set	Property	Gene	0	Gene expression values from GEO	binary value	1	1	PG	Tissue_Expression	GEO Expression Set
go_hierarchy	Property	Property	0	relationship between go terms	Binary value indicating relationship exists	1	1	PP	MISC	GO Hierarchy
LINCS_cell_type	Property	Property	0	Cell type from LINCS experiment	binary value	1	1	PP	MISC	LINCS Cell Type
LINCS_perturbagen	Property	Property	0	Perturbagen from LINCS experiment	binary value	1	1	PP	MISC	LINCS Perturbagen
LINCS_perturbagen_dose	Property	Property	0	Perturbagen dose from LINCS experiment	binary value	1	1	PP	MISC	LINCS Perturbagen Dose
LINCS_perturbagen_time	Property	Property	0	Perturbagen time from LINCS experiment	binary value	1	1	PP	MISC	LINCS Perturbagen Time
LINCS_perturbagen_type	Property	Property	0	Perturbagen type from LINCS experiment	binary value	1	1	PP	MISC	LINCS Perturbagen Type
reactome_hierarchy	Property	Property	0	parent-->child relationship between pathways	Binary value indicating relationship exists	1	1	PP	MISC	Reactome Hierarchy
pfam_prot	Property	Gene	0	Pfam protein domains found in protein sequences as scored by HMMER	negative log 10 of E-value, expected number of local alignments with a given score that would be found in random sequences of the same length as the query and database	100	2	PG	Protein_Domains	PFam Prot Domains
reactome_annotation	Property	Gene	0	Curated evidence comes from experimental or computational analysis that can be traced back to a specific literature citation (score =2 ).  This is distinct from 'reactome_inferred' which are automatically assigned from electronic annotations (score=1).	Value indicating whether the gene annotation was curated or inferred	2	1	PG	Pathways	Reactome Pathways Curated
